hp,r1_dmg,r1_block,r2_dmg,r2_block,r3_dmg,r3_block,warrior_cost,wizard_cost,cleric_cost,paladin_cost,warrior_win,wizard_win,cleric_win,paladin_win,warrior_r1kill,wizard_r1kill,cleric_r1kill,paladin_r1kill
4,0,0,0,0,0,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,0,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,0,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,1,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,1,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,1,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,2,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,2,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,2,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,6.666666666666667,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,3,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,3,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,3,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,4,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,4,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,4,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,5,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,5,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,0,5,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,20.0,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,0,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,0,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,0,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,1,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,1,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,1,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,2,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,2,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,2,2,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,13.333333333333334,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,3,0,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,26.666666666666668,26.666666666666668,6.666666666666667,93.33333333333333
4,0,0,0,1,3,1,0.0,0.0,-9.523809523809522,0.0,100.0,100.0,100.0,100.0,26.666666666666668,26.666666666666668,6.666666666666667,93.33333333333333
